,CATAID,WHAN classification,BPT classification
0,14283,sAGN,composite
1,14295,SF,unclassified
2,14296,SF,SF
3,14300,unclassified,unclassified
4,14301,SF,SF
5,14302,sAGN,SF
6,14303,SF,composite
7,14304,SF,SF
8,14305,wAGN,LINERs
9,14306,SF,SF
10,14307,retired,unclassified
11,14308,SF,SF
12,14309,sAGN,composite
13,14310,SF,SF
14,14311,retired,unclassified
15,14312,wAGN,composite
16,14313,SF,SF
17,14314,SF,SF
18,14315,sAGN,composite
19,14316,passive,unclassified
20,14317,SF,SF
21,14318,SF,unclassified
22,14319,unclassified,unclassified
23,14320,SF,SF
24,14321,SF,unclassified
25,14322,SF,SF
26,14323,SF,unclassified
27,14324,SF,SF
28,14325,SF,SF
29,14326,SF,SF
30,14327,unclassified,unclassified
31,14328,unclassified,unclassified
32,14329,retired,unclassified
33,14330,SF,composite
34,14331,SF,composite
35,14332,unclassified,unclassified
36,14333,SF,unclassified
37,14334,SF,SF
38,14335,unclassified,LINERs
39,14336,sAGN,LINERs
40,14337,unclassified,unclassified
41,14338,SF,SF
42,14339,SF,SF
43,14340,SF,SF
44,14341,SF,SF
45,14342,SF,SF
46,14343,SF,SF
47,14344,unclassified,unclassified
48,14345,unclassified,unclassified
49,14346,unclassified,unclassified
50,14347,SF,SF
51,14348,SF,unclassified
52,14349,sAGN,composite
53,14350,wAGN,seyfert
54,14351,SF,unclassified
55,14352,SF,SF
56,14353,SF,SF
57,14354,unclassified,unclassified
58,14355,unclassified,unclassified
59,14356,SF,SF
60,14357,unclassified,unclassified
61,14358,SF,SF
62,14359,SF,SF
63,14360,unclassified,unclassified
64,14361,SF,SF
65,14362,unclassified,unclassified
66,14363,SF,SF
67,14364,sAGN,seyfert
68,14365,retired,composite
69,14366,SF,SF
70,14367,SF,unclassified
71,14368,unclassified,unclassified
72,14369,SF,SF
73,14370,retired,unclassified
74,14371,SF,SF
75,14372,SF,SF
76,14373,unclassified,unclassified
77,14374,unclassified,unclassified
78,14375,SF,seyfert
79,14376,retired,unclassified
80,14377,retired,unclassified
81,14378,SF,SF
82,14379,SF,SF
83,14380,SF,SF
84,14381,unclassified,unclassified
85,14382,SF,SF
86,14383,retired,unclassified
87,14384,sAGN,LINERs
88,14385,SF,SF
89,14386,SF,unclassified
90,14387,unclassified,unclassified
91,14388,unclassified,unclassified
92,14389,SF,unclassified
93,14390,SF,SF
94,14391,SF,SF
95,14392,SF,unclassified
96,14393,unclassified,unclassified
97,14394,SF,SF
98,14395,passive,unclassified
99,14396,SF,unclassified
100,14397,SF,composite
101,14398,SF,SF
102,14399,SF,SF
103,14400,retired,LINERs
104,14401,SF,SF
105,14402,wAGN,composite
106,14403,wAGN,composite
107,14404,unclassified,unclassified
108,14405,SF,SF
109,14406,retired,LINERs
110,14407,SF,SF
111,14408,SF,SF
112,14409,retired,seyfert
113,14410,unclassified,unclassified
114,14411,SF,SF
115,14412,SF,composite
116,14413,SF,SF
117,14414,SF,SF
118,14415,SF,SF
119,14416,SF,SF
120,14417,SF,SF
121,14418,SF,SF
122,14419,unclassified,unclassified
123,14420,SF,SF
124,14421,SF,SF
125,14422,SF,SF
126,14423,SF,unclassified
127,14424,SF,SF
128,14425,sAGN,seyfert
129,14426,unclassified,unclassified
130,14427,SF,SF
131,14428,sAGN,composite
132,14429,SF,composite
133,14430,SF,SF
134,14431,SF,SF
135,14432,retired,unclassified
136,14433,sAGN,composite
137,14434,SF,SF
138,14435,wAGN,unclassified
139,14436,SF,unclassified
140,14437,unclassified,unclassified
141,14438,sAGN,composite
142,14439,retired,unclassified
143,14440,unclassified,unclassified
144,14441,unclassified,unclassified
145,14442,SF,composite
146,14443,retired,LINERs
147,14444,retired,unclassified
148,14445,retired,unclassified
149,14446,SF,SF
150,14447,retired,LINERs
151,14448,SF,SF
152,14449,SF,SF
153,14450,SF,SF
154,14451,SF,SF
155,14452,SF,SF
156,14453,unclassified,unclassified
157,14454,SF,unclassified
158,14455,unclassified,unclassified
159,14456,sAGN,SF
160,14457,retired,composite
161,14458,SF,unclassified
162,14459,SF,SF
163,14460,sAGN,composite
164,14461,unclassified,unclassified
165,14462,retired,LINERs
166,14463,unclassified,unclassified
167,14464,SF,SF
168,14465,SF,SF
169,14466,sAGN,composite
170,14467,SF,composite
171,14468,retired,SF
172,14469,SF,SF
173,14470,SF,unclassified
174,14471,unclassified,unclassified
175,14472,SF,SF
176,14473,sAGN,composite
177,14474,unclassified,unclassified
178,14475,SF,unclassified
179,14476,unclassified,unclassified
180,14477,SF,SF
181,14478,SF,SF
182,14479,SF,SF
183,14480,sAGN,unclassified
184,14481,retired,unclassified
185,14482,retired,unclassified
186,14483,unclassified,unclassified
187,14484,retired,unclassified
188,14485,SF,SF
189,14486,SF,SF
190,14487,retired,unclassified
191,14488,SF,unclassified
192,14489,unclassified,unclassified
193,14490,wAGN,composite
194,14491,SF,SF
195,14492,SF,SF
196,14493,sAGN,SF
197,14494,SF,unclassified
198,14495,SF,SF
199,14496,SF,unclassified
200,14497,SF,SF
201,14498,retired,SF
202,14499,unclassified,unclassified
203,14500,sAGN,LINERs
204,14501,unclassified,unclassified
205,14502,SF,SF
206,14503,SF,SF
207,14504,wAGN,composite
208,14505,unclassified,unclassified
209,14506,SF,SF
210,14507,sAGN,composite
211,14508,SF,SF
212,14509,retired,unclassified
213,14510,SF,SF
214,14511,unclassified,unclassified
215,14512,unclassified,unclassified
216,14513,unclassified,unclassified
217,14514,retired,unclassified
218,14515,SF,SF
219,14516,SF,SF
220,14517,sAGN,unclassified
221,14518,retired,unclassified
222,14519,SF,SF
223,14520,unclassified,unclassified
224,14521,SF,SF
225,14522,SF,composite
226,14523,unclassified,unclassified
227,14524,unclassified,unclassified
228,14525,SF,SF
229,14526,retired,unclassified
230,14527,retired,LINERs
231,14528,SF,SF
232,14529,SF,SF
233,14530,SF,SF
234,14531,unclassified,unclassified
235,14532,SF,SF
236,14533,SF,SF
237,14534,SF,SF
238,14535,SF,SF
239,14536,unclassified,unclassified
240,14537,SF,SF
241,14538,SF,SF
242,14539,unclassified,unclassified
243,14540,SF,SF
244,14541,SF,SF
245,14542,SF,SF
246,14543,SF,SF
247,14544,SF,unclassified
248,14545,unclassified,unclassified
249,14546,SF,SF
250,14547,unclassified,unclassified
251,14548,retired,composite
252,14549,retired,composite
253,14550,SF,unclassified
254,14551,SF,SF
255,14552,SF,composite
256,14553,sAGN,LINERs
257,14554,unclassified,unclassified
258,14555,unclassified,unclassified
259,14557,SF,SF
260,14558,wAGN,unclassified
261,14559,SF,SF
262,14560,SF,SF
263,14561,SF,SF
264,14562,SF,SF
265,14563,retired,composite
266,14564,sAGN,seyfert
267,14565,SF,unclassified
268,14566,SF,unclassified
269,14567,SF,SF
270,14568,sAGN,unclassified
271,14569,sAGN,unclassified
272,14570,unclassified,unclassified
273,14571,SF,SF
274,14572,unclassified,unclassified
275,14573,unclassified,unclassified
276,14574,sAGN,seyfert
277,14575,SF,SF
278,14576,retired,LINERs
279,14577,retired,unclassified
280,14578,SF,SF
281,14579,SF,unclassified
282,14580,unclassified,unclassified
283,14581,sAGN,SF
284,14582,SF,SF
285,14583,unclassified,unclassified
286,14584,sAGN,seyfert
287,14585,unclassified,unclassified
288,14586,SF,unclassified
289,14587,SF,SF
290,14588,SF,SF
291,14589,SF,SF
292,14590,sAGN,composite
293,14591,SF,unclassified
294,14592,unclassified,unclassified
295,14593,SF,SF
296,14594,SF,SF
297,14595,SF,SF
298,14596,SF,SF
299,14597,SF,SF
300,14598,SF,composite
301,14599,SF,SF
302,14600,unclassified,unclassified
